==================================== Fitting DCLF ====================================
Epoch: 25, Step: 1000, In Loss: 2.0262708, Out Loss: 2.0579010, In Acc: 23.690, Out Acc: 23.300
Epoch: 50, Step: 2000, In Loss: 1.9046672, Out Loss: 1.9675900, In Acc: 30.100, Out Acc: 28.770
Epoch: 75, Step: 3000, In Loss: 1.8350509, Out Loss: 1.9327735, In Acc: 34.120, Out Acc: 31.840
Epoch: 100, Step: 4000, In Loss: 1.6347050, Out Loss: 1.7786677, In Acc: 40.060, Out Acc: 36.910
Epoch: 125, Step: 5000, In Loss: 1.5260033, Out Loss: 1.7217387, In Acc: 44.330, Out Acc: 38.970
Epoch: 150, Step: 6000, In Loss: 1.3516362, Out Loss: 1.6026327, In Acc: 51.450, Out Acc: 43.130
Epoch: 175, Step: 7000, In Loss: 1.2826251, Out Loss: 1.5999631, In Acc: 53.730, Out Acc: 44.080
Epoch: 200, Step: 8000, In Loss: 1.1909101, Out Loss: 1.5800458, In Acc: 56.810, Out Acc: 45.350
Epoch: 225, Step: 9000, In Loss: 1.1072625, Out Loss: 1.5857667, In Acc: 60.460, Out Acc: 45.340
Epoch: 250, Step: 10000, In Loss: 1.0208226, Out Loss: 1.5984090, In Acc: 63.300, Out Acc: 45.380
Epoch: 275, Step: 11000, In Loss: 0.9496468, Out Loss: 1.6319203, In Acc: 65.750, Out Acc: 46.050
Epoch: 300, Step: 12000, In Loss: 0.8618164, Out Loss: 1.6239958, In Acc: 69.450, Out Acc: 46.960
Epoch: 325, Step: 13000, In Loss: 0.8022317, Out Loss: 1.6564618, In Acc: 71.420, Out Acc: 46.820
Epoch: 350, Step: 14000, In Loss: 0.7150437, Out Loss: 1.6643205, In Acc: 75.240, Out Acc: 47.200
Epoch: 375, Step: 15000, In Loss: 0.7863712, Out Loss: 1.8669896, In Acc: 72.000, Out Acc: 45.340
Epoch: 400, Step: 16000, In Loss: 0.7108002, Out Loss: 1.9352905, In Acc: 75.500, Out Acc: 45.090
Epoch: 425, Step: 17000, In Loss: 0.5073691, Out Loss: 1.8633147, In Acc: 82.160, Out Acc: 47.540
Epoch: 450, Step: 18000, In Loss: 0.4979046, Out Loss: 1.9887358, In Acc: 82.390, Out Acc: 46.200
Epoch: 475, Step: 19000, In Loss: 0.3837823, Out Loss: 1.8847729, In Acc: 88.350, Out Acc: 47.270
Epoch: 500, Step: 20000, In Loss: 0.2846989, Out Loss: 2.0583383, In Acc: 91.700, Out Acc: 47.510
Epoch: 525, Step: 21000, In Loss: 0.2219456, Out Loss: 2.1551256, In Acc: 93.020, Out Acc: 47.320
Epoch: 550, Step: 22000, In Loss: 0.1805749, Out Loss: 2.2192953, In Acc: 94.750, Out Acc: 47.420
Epoch: 575, Step: 23000, In Loss: 0.1490169, Out Loss: 2.2845346, In Acc: 95.800, Out Acc: 47.790
Epoch: 600, Step: 24000, In Loss: 0.1265097, Out Loss: 2.3301073, In Acc: 96.830, Out Acc: 47.540
Epoch: 625, Step: 25000, In Loss: 0.1069464, Out Loss: 2.3629466, In Acc: 97.520, Out Acc: 47.650
Epoch: 650, Step: 26000, In Loss: 0.0924405, Out Loss: 2.4556550, In Acc: 97.890, Out Acc: 47.930
Epoch: 675, Step: 27000, In Loss: 0.0975221, Out Loss: 2.5567713, In Acc: 97.560, Out Acc: 47.380
Epoch: 700, Step: 28000, In Loss: 0.0664626, Out Loss: 2.4705267, In Acc: 98.620, Out Acc: 47.940
Epoch: 725, Step: 29000, In Loss: 0.0639317, Out Loss: 2.5863981, In Acc: 98.680, Out Acc: 48.040
Epoch: 750, Step: 30000, In Loss: 0.0625234, Out Loss: 2.6681691, In Acc: 98.530, Out Acc: 47.720
Epoch: 775, Step: 31000, In Loss: 0.0361044, Out Loss: 2.5069805, In Acc: 99.560, Out Acc: 48.450
Epoch: 800, Step: 32000, In Loss: 0.0314940, Out Loss: 2.5350928, In Acc: 99.610, Out Acc: 49.000
Epoch: 825, Step: 33000, In Loss: 0.0264036, Out Loss: 2.4975675, In Acc: 99.700, Out Acc: 48.820
Epoch: 850, Step: 34000, In Loss: 0.0275024, Out Loss: 2.5528327, In Acc: 99.670, Out Acc: 48.680
Epoch: 875, Step: 35000, In Loss: 0.0265978, Out Loss: 2.5931456, In Acc: 99.700, Out Acc: 48.700
Epoch: 900, Step: 36000, In Loss: 0.0209992, Out Loss: 2.5660158, In Acc: 99.760, Out Acc: 48.860
Epoch: 925, Step: 37000, In Loss: 0.0234971, Out Loss: 2.5913104, In Acc: 99.750, Out Acc: 48.690
Epoch: 950, Step: 38000, In Loss: 0.0207197, Out Loss: 2.5953984, In Acc: 99.830, Out Acc: 48.650
Epoch: 975, Step: 39000, In Loss: 0.0187752, Out Loss: 2.6326418, In Acc: 99.820, Out Acc: 48.990
Epoch: 1000, Step: 40000, In Loss: 0.0210591, Out Loss: 2.6425377, In Acc: 99.750, Out Acc: 48.710
Epoch: 1025, Step: 41000, In Loss: 0.0163075, Out Loss: 2.5989308, In Acc: 99.860, Out Acc: 48.930
Epoch: 1050, Step: 42000, In Loss: 0.0159015, Out Loss: 2.6325467, In Acc: 99.870, Out Acc: 48.900
Epoch: 1075, Step: 43000, In Loss: 0.0148984, Out Loss: 2.6289959, In Acc: 99.880, Out Acc: 49.110
Epoch: 1100, Step: 44000, In Loss: 0.0156423, Out Loss: 2.6458005, In Acc: 99.860, Out Acc: 49.020
Epoch: 1125, Step: 45000, In Loss: 0.0155884, Out Loss: 2.6382795, In Acc: 99.880, Out Acc: 48.730
